Code,Date,Exchange => PLN,EUR => USD,CHF => USD
USD,2024-01-02,3.94,1.08,1.13
USD,2024-01-03,3.99,1.08,1.13
USD,2024-01-04,3.97,1.08,1.13
USD,2024-01-05,3.98,1.08,1.13
USD,2024-01-08,3.98,1.08,1.13
USD,2024-01-09,3.96,1.08,1.13
USD,2024-01-10,3.97,1.08,1.13
USD,2024-01-11,3.97,1.08,1.13
USD,2024-01-12,3.97,1.08,1.13
USD,2024-01-15,4.0,1.08,1.13
USD,2024-01-16,4.04,1.08,1.13
USD,2024-01-17,4.04,1.08,1.13
USD,2024-01-18,4.04,1.08,1.13
USD,2024-01-19,4.03,1.08,1.13
USD,2024-01-22,4.0,1.08,1.13
USD,2024-01-23,4.01,1.08,1.13
USD,2024-01-24,4.01,1.08,1.13
USD,2024-01-25,4.02,1.08,1.13
USD,2024-01-26,4.04,1.08,1.13
USD,2024-01-29,4.03,1.08,1.13
USD,2024-01-30,4.03,1.08,1.13
USD,2024-01-31,4.01,1.08,1.13
USD,2024-02-01,4.0,1.08,1.13
USD,2024-02-02,3.96,1.08,1.13
USD,2024-02-05,4.02,1.08,1.13
USD,2024-02-06,4.05,1.08,1.13
USD,2024-02-07,4.04,1.08,1.13
USD,2024-02-08,4.03,1.08,1.13
USD,2024-02-09,4.01,1.08,1.13
USD,2024-02-12,4.02,1.08,1.13
USD,2024-02-13,4.01,1.08,1.13
USD,2024-02-14,4.06,1.08,1.13
USD,2024-02-15,4.05,1.08,1.13
USD,2024-02-16,4.03,1.08,1.13
USD,2024-02-19,4.03,1.08,1.13
USD,2024-02-20,4.0,1.08,1.13
USD,2024-02-21,4.0,1.08,1.13
USD,2024-02-22,3.98,1.08,1.13
USD,2024-02-23,4.0,1.08,1.13
USD,2024-02-26,3.98,1.08,1.13
USD,2024-02-27,3.97,1.08,1.13
USD,2024-02-28,3.99,1.08,1.13
USD,2024-02-29,3.98,1.08,1.13
USD,2024-03-01,3.99,1.08,1.13
EUR,2024-01-02,4.34,1.08,1.13
EUR,2024-01-03,4.36,1.08,1.13
EUR,2024-01-04,4.35,1.08,1.13
EUR,2024-01-05,4.35,1.08,1.13
EUR,2024-01-08,4.35,1.08,1.13
EUR,2024-01-09,4.34,1.08,1.13
EUR,2024-01-10,4.34,1.08,1.13
EUR,2024-01-11,4.35,1.08,1.13
EUR,2024-01-12,4.36,1.08,1.13
EUR,2024-01-15,4.37,1.08,1.13
EUR,2024-01-16,4.39,1.08,1.13
EUR,2024-01-17,4.4,1.08,1.13
EUR,2024-01-18,4.4,1.08,1.13
EUR,2024-01-19,4.38,1.08,1.13
EUR,2024-01-22,4.36,1.08,1.13
EUR,2024-01-23,4.37,1.08,1.13
EUR,2024-01-24,4.38,1.08,1.13
EUR,2024-01-25,4.38,1.08,1.13
EUR,2024-01-26,4.38,1.08,1.13
EUR,2024-01-29,4.37,1.08,1.13
EUR,2024-01-30,4.36,1.08,1.13
EUR,2024-01-31,4.34,1.08,1.13
EUR,2024-02-01,4.32,1.08,1.13
EUR,2024-02-02,4.32,1.08,1.13
EUR,2024-02-05,4.33,1.08,1.13
EUR,2024-02-06,4.34,1.08,1.13
EUR,2024-02-07,4.35,1.08,1.13
EUR,2024-02-08,4.34,1.08,1.13
EUR,2024-02-09,4.32,1.08,1.13
EUR,2024-02-12,4.33,1.08,1.13
EUR,2024-02-13,4.32,1.08,1.13
EUR,2024-02-14,4.34,1.08,1.13
EUR,2024-02-15,4.35,1.08,1.13
EUR,2024-02-16,4.34,1.08,1.13
EUR,2024-02-19,4.34,1.08,1.13
EUR,2024-02-20,4.32,1.08,1.13
EUR,2024-02-21,4.32,1.08,1.13
EUR,2024-02-22,4.32,1.08,1.13
EUR,2024-02-23,4.33,1.08,1.13
EUR,2024-02-26,4.31,1.08,1.13
EUR,2024-02-27,4.31,1.08,1.13
EUR,2024-02-28,4.31,1.08,1.13
EUR,2024-02-29,4.32,1.08,1.13
EUR,2024-03-01,4.32,1.08,1.13
CHF,2024-01-02,4.66,1.08,1.13
CHF,2024-01-03,4.69,1.08,1.13
CHF,2024-01-04,4.67,1.08,1.13
CHF,2024-01-05,4.67,1.08,1.13
CHF,2024-01-08,4.68,1.08,1.13
CHF,2024-01-09,4.66,1.08,1.13
CHF,2024-01-10,4.65,1.08,1.13
CHF,2024-01-11,4.66,1.08,1.13
CHF,2024-01-12,4.66,1.08,1.13
CHF,2024-01-15,4.68,1.08,1.13
CHF,2024-01-16,4.69,1.08,1.13
CHF,2024-01-17,4.69,1.08,1.13
CHF,2024-01-18,4.68,1.08,1.13
CHF,2024-01-19,4.64,1.08,1.13
CHF,2024-01-22,4.61,1.08,1.13
CHF,2024-01-23,4.62,1.08,1.13
CHF,2024-01-24,4.64,1.08,1.13
CHF,2024-01-25,4.65,1.08,1.13
CHF,2024-01-26,4.67,1.08,1.13
CHF,2024-01-29,4.68,1.08,1.13
CHF,2024-01-30,4.67,1.08,1.13
CHF,2024-01-31,4.65,1.08,1.13
CHF,2024-02-01,4.64,1.08,1.13
CHF,2024-02-02,4.63,1.08,1.13
CHF,2024-02-05,4.62,1.08,1.13
CHF,2024-02-06,4.64,1.08,1.13
CHF,2024-02-07,4.63,1.08,1.13
CHF,2024-02-08,4.62,1.08,1.13
CHF,2024-02-09,4.58,1.08,1.13
CHF,2024-02-12,4.59,1.08,1.13
CHF,2024-02-13,4.56,1.08,1.13
CHF,2024-02-14,4.57,1.08,1.13
CHF,2024-02-15,4.58,1.08,1.13
CHF,2024-02-16,4.58,1.08,1.13
CHF,2024-02-19,4.57,1.08,1.13
CHF,2024-02-20,4.54,1.08,1.13
CHF,2024-02-21,4.54,1.08,1.13
CHF,2024-02-22,4.54,1.08,1.13
CHF,2024-02-23,4.54,1.08,1.13
CHF,2024-02-26,4.52,1.08,1.13
CHF,2024-02-27,4.51,1.08,1.13
CHF,2024-02-28,4.53,1.08,1.13
CHF,2024-02-29,4.53,1.08,1.13
CHF,2024-03-01,4.51,1.08,1.13
